model_id,section,market,scenario,population_base,adult_share,life_event_rate,category_openness,ability_wtp_rate,purchase_rate,reachable_share,purchase_frequency,blended_case_aov_usd,modeled_buyers,modeled_cases,revenue_usd,revenue_rmb,formula,semantics,variable_status,confidence,notes
OTAM-MC,Overseas top-down TAM,Malaysia,Conservative,6921600,0.50,0.20,0.15,0.10,0.30,1.00,1.00,80,3115,3115,249178,1691916,"6921600 × 50% × 20% × 15% × 10% × 30% × 1 × US$80","annual_category_buyers_and_cases","Population facts; behavioral rates hypotheses",Low,"Rounded only after full calculation"
OTAM-C,Overseas top-down TAM,Included overseas,Conservative,19433212.5,NA,NA,NA,NA,NA,1.00,1.00,NA,15626,15626,1750571,11886378,"OTAM-HC + OTAM-MC using full precision","annual_category_buyers_and_cases","Model output",Low,"Category demand; not Zhiji revenue"
OTAM-HB,Overseas top-down TAM,Selected higher-income markets,Base,12511612.5,0.58,0.30,0.25,0.45,0.55,1.00,1.00,220,134703,134703,29634693,201219563,"12511612.5 × 58% × 30% × 25% × 45% × 55% × 1 × US$220","annual_category_buyers_and_cases","Population facts; behavioral rates hypotheses",Low,"Category demand; not forecast"
OTAM-MB,Overseas top-down TAM,Malaysia,Base,6921600,0.58,0.30,0.30,0.20,0.45,1.00,1.00,120,32518,32518,3902121,26495403,"6921600 × 58% × 30% × 30% × 20% × 45% × 1 × US$120","annual_category_buyers_and_cases","Population facts; behavioral rates hypotheses",Low,"Category demand"
OTAM-B,Overseas top-down TAM,Included overseas,Base,19433212.5,NA,NA,NA,NA,NA,1.00,1.00,NA,167221,167221,33536814,227714966,"OTAM-HB + OTAM-MB using full precision","annual_category_buyers_and_cases","Model output",Low,"The range rather than midpoint is the finding"
OTAM-HA,Overseas top-down TAM,Selected higher-income markets,Aggressive,12511612.5,0.62,0.40,0.40,0.60,0.70,1.00,1.00,350,521284,521284,182449338,1238831006,"12511612.5 × 62% × 40% × 40% × 60% × 70% × 1 × US$350","annual_category_buyers_and_cases","Population facts; behavioral rates hypotheses",Low,"Highly assumption-sensitive upper bound"
OTAM-MA,Overseas top-down TAM,Malaysia,Aggressive,6921600,0.62,0.40,0.45,0.35,0.60,1.00,1.00,180,162215,162215,29198631,198258706,"6921600 × 62% × 40% × 45% × 35% × 60% × 1 × US$180","annual_category_buyers_and_cases","Population facts; behavioral rates hypotheses",Low,"Highly assumption-sensitive upper bound"
OTAM-A,Overseas top-down TAM,Included overseas,Aggressive,19433212.5,NA,NA,NA,NA,NA,1.00,1.00,NA,683498,683498,211647969,1437089711,"OTAM-HA + OTAM-MA using full precision","annual_category_buyers_and_cases","Model output",Low,"Upper bound; not forecast"
MTAM-C,Mainland top-down TAM,Affluent selected-city adults,Conservative,20000000,NA,0.20,0.10,NA,0.15,1.00,1.00,120,60000,60000,7200000,48888000,"20m × 20% × 10% × 15% × 1 × US$120","annual_category_buyers_and_cases","Population proxy and behavioral rates hypotheses",Low,"Option value; regulation excluded"
MTAM-B,Mainland top-down TAM,Affluent selected-city adults,Base,30000000,NA,0.30,0.20,NA,0.20,1.00,1.00,180,360000,360000,64800000,439992000,"30m × 30% × 20% × 20% × 1 × US$180","annual_category_buyers_and_cases","Population proxy and behavioral rates hypotheses",Low,"Not launch SAM"
MTAM-A,Mainland top-down TAM,Affluent selected-city adults,Aggressive,43000000,NA,0.40,0.35,NA,0.30,1.00,1.00,280,1806000,1806000,505680000,3433567200,"43m × 40% × 35% × 30% × 1 × US$280","annual_category_buyers_and_cases","Population proxy and behavioral rates hypotheses",Low,"Not bankable"
CTAM-C,Combined top-down TAM,Overseas plus mainland option,Conservative,NA,NA,NA,NA,NA,NA,NA,1.00,NA,75626,75626,8950571,60774378,"OTAM-C + MTAM-C using full precision","annual_category_buyers_and_cases","Model output",Low,"Mainland regulation not discounted"
CTAM-B,Combined top-down TAM,Overseas plus mainland option,Base,NA,NA,NA,NA,NA,NA,NA,1.00,NA,527221,527221,98336814,667706966,"OTAM-B + MTAM-B using full precision","annual_category_buyers_and_cases","Model output",Low,"Not a launch forecast"
CTAM-A,Combined top-down TAM,Overseas plus mainland option,Aggressive,NA,NA,NA,NA,NA,NA,NA,1.00,NA,2489498,2489498,717327969,4870656911,"OTAM-A + MTAM-A using full precision","annual_category_buyers_and_cases","Model output",Low,"Upper bound"
SAM-POP-US,North American screened demographic,United States,Base,1754500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5500000 × 55% assumed age 25–54 × 58% BA+ proxy = 1754500","derived_screened_population","Population/education fact; age share hypothesis",Medium,"population_base stores the derived screened count; not buyers"
SAM-POP-CA,North American screened demographic,Canada,Base,477157.0275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1715775 × 45% assumed age 25–54 × 61.8% BA+ = 477157.0275","derived_screened_population","Population/education fact; age share hypothesis",Medium,"population_base stores the derived screened count; not buyers"
SAM-POP,North American screened demographic,North America,Base,920558.52384375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(1754500 + 477157.0275) × 75% major-metro × 55% cultural-language closeness = 920558.52384375","derived_screened_population","Mixed facts and hypotheses",Low,"population_base stores the final screened count; Taiwanese-origin coverage is incomplete/definition-dependent"
SAM-C,Structural North American category SAM before channel reach,North America,Conservative,920558.52384375,NA,0.20,0.10,NA,0.20,1.00,1.00,160,3682,3682,589157,4000379,"920558.52384375 × 20% × 10% × 20% × 1 × US$160","annual_category_buyers_and_cases","Behavioral rates hypotheses",Low,"Blended case AOV; not the Zhiji core price"
SAM-B,Structural North American category SAM before channel reach,North America,Base,920558.52384375,NA,0.30,0.25,NA,0.30,1.00,1.00,240,20713,20713,4971016,33753199,"920558.52384375 × 30% × 25% × 30% × 1 × US$240","annual_category_buyers_and_cases","Behavioral rates hypotheses",Low,"Apply explicit brand/channel reach below"
SAM-A,Structural North American category SAM before channel reach,North America,Aggressive,920558.52384375,NA,0.40,0.40,NA,0.45,1.00,1.00,400,66280,66280,26512085,180017060,"920558.52384375 × 40% × 40% × 45% × 1 × US$400","annual_category_buyers_and_cases","Behavioral rates hypotheses",Low,"Upper bound"
RSAM-C,Top-down launch-year reachable category SAM,North America,Conservative,920558.52384375,NA,0.20,0.10,NA,0.20,0.05,1.00,160,184,184,29458,200019,"Structural conservative SAM × 5% qualified channel reach","annual_reachable_category_buyers_and_cases","Behavioral and reach hypotheses",Low,"A top-down reach haircut; qualified reach is not views or MAU"
RSAM-B,Top-down launch-year reachable category SAM,North America,Base,920558.52384375,NA,0.30,0.25,NA,0.30,0.10,1.00,240,2071,2071,497102,3375320,"Structural base SAM × 10% qualified channel reach","annual_reachable_category_buyers_and_cases","Behavioral and reach hypotheses",Low,"A top-down reach haircut; Zhiji must earn a share"
RSAM-A,Top-down launch-year reachable category SAM,North America,Aggressive,920558.52384375,NA,0.40,0.40,NA,0.45,0.25,1.00,400,16570,16570,6628021,45004265,"Structural aggressive SAM × 25% qualified channel reach","annual_reachable_category_buyers_and_cases","Behavioral and reach hypotheses",Low,"A top-down reach haircut; upper bound requires substantial channel development"
SOM-C,Bottom-up year-3 SOM,North America,Conservative,NA,NA,NA,NA,NA,NA,NA,NA,328,NA,180,59040,400882,"180 delivered cases × US$328 realized blended AOV","annual_zhiji_cases_and_revenue","Capacity/product-mix hypothesis",Low,"One practitioner at 4 cases/week for 45 weeks; mix includes pilot pricing/refunds"
SOM-B,Bottom-up year-3 SOM,North America,Base,NA,NA,NA,NA,NA,NA,NA,NA,438,NA,750,328500,2230515,"750 delivered cases × US$438 realized blended revenue per case","annual_zhiji_cases_and_revenue","Capacity/product-mix hypothesis",Low,"About three practitioners at 250 cases/year; AOV mixes core and annual review and is after modeled discount/refund effect"
SOM-A,Bottom-up year-3 SOM,North America,Aggressive,NA,NA,NA,NA,NA,NA,NA,NA,550,NA,2500,1375000,9336250,"2500 delivered cases × US$550 realized blended revenue per case","annual_zhiji_cases_and_revenue","Capacity/product-mix hypothesis",Low,"About ten practitioners at 250 cases/year; deeper/couple mix and after modeled discount/refund effect"
SENS-LIFE-LOW,Structural SAM sensitivity,North America,Life event low,920558.52384375,NA,0.20,0.25,NA,0.30,1.00,1.00,240,13808,13808,3314011,22502133,"Base structural SAM with life-event rate 20%","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Linear arithmetic effect"
SENS-LIFE-HIGH,Structural SAM sensitivity,North America,Life event high,920558.52384375,NA,0.40,0.25,NA,0.30,1.00,1.00,240,27617,27617,6628021,45004265,"Base structural SAM with life-event rate 40%","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Linear arithmetic effect"
SENS-OPEN-LOW,Structural SAM sensitivity,North America,Openness low,920558.52384375,NA,0.30,0.15,NA,0.30,1.00,1.00,240,12428,12428,2982610,20251919,"Base structural SAM with serious-service openness 15%","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Linear arithmetic effect"
SENS-OPEN-HIGH,Structural SAM sensitivity,North America,Openness high,920558.52384375,NA,0.30,0.35,NA,0.30,1.00,1.00,240,28998,28998,6959422,47254478,"Base structural SAM with serious-service openness 35%","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Linear arithmetic effect"
SENS-BUY-LOW,Structural SAM sensitivity,North America,Purchase conversion low,920558.52384375,NA,0.30,0.25,NA,0.20,1.00,1.00,240,13808,13808,3314011,22502133,"Base structural SAM with category purchase rate 20%","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Not website conversion"
SENS-BUY-HIGH,Structural SAM sensitivity,North America,Purchase conversion high,920558.52384375,NA,0.30,0.25,NA,0.40,1.00,1.00,240,27617,27617,6628021,45004265,"Base structural SAM with category purchase rate 40%","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Not website conversion"
SENS-PRICE-LOW,Structural SAM sensitivity,North America,Case AOV low,920558.52384375,NA,0.30,0.25,NA,0.30,1.00,1.00,160,20713,20713,3314011,22502133,"Base structural buyers × one case × US$160 blended case AOV","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Actual price changes conversion; not an elasticity forecast"
SENS-PRICE-HIGH,Structural SAM sensitivity,North America,Case AOV high,920558.52384375,NA,0.30,0.25,NA,0.30,1.00,1.00,400,20713,20713,8285027,56255331,"Base structural buyers × one case × US$400 blended case AOV","annual_category_buyers_and_cases","Hypothesis sensitivity",Low,"Actual price changes conversion"
SENS-REACH-LOW,Reachable SAM sensitivity,North America,Channel reach low,920558.52384375,NA,0.30,0.25,NA,0.30,0.05,1.00,240,1036,1036,248551,1687660,"Base structural SAM × 5% qualified channel reach","annual_reachable_category_buyers_and_cases","Hypothesis sensitivity",Low,"Qualified reach not impressions"
SENS-REACH-HIGH,Reachable SAM sensitivity,North America,Channel reach high,920558.52384375,NA,0.30,0.25,NA,0.30,0.25,1.00,240,5178,5178,1242754,8438300,"Base structural SAM × 25% qualified channel reach","annual_reachable_category_buyers_and_cases","Hypothesis sensitivity",Low,"Requires repeatable channels"
SENS-FREQ-LOW,Reachable SAM sensitivity,North America,Purchase frequency low,920558.52384375,NA,0.30,0.25,NA,0.30,0.10,1.00,240,2071,2071,497102,3375320,"Base reachable buyers × 1.0 annual case × US$240 per-case AOV","annual_reachable_category_buyers_and_cases","Hypothesis sensitivity",Low,"A buyer has at least one purchase in the modeled year"
SENS-FREQ-HIGH,Reachable SAM sensitivity,North America,Purchase frequency high,920558.52384375,NA,0.30,0.25,NA,0.30,0.10,1.50,240,2071,3107,745652,5062980,"Base reachable buyers × 1.5 annual cases × US$240 per-case AOV","annual_reachable_category_buyers_and_cases","Hypothesis sensitivity",Low,"High repeat is not necessarily healthy; test trigger quality"
