"id","competitor","url","category","geography","languages","target_customer","positioning","delivery_model","human_vs_automated","public_price_checked_2026_07_10","refund_or_guarantee","followup_or_retention","trust_and_proof","privacy_and_ai_disclosure","acquisition_or_scale_signal","strength","weakness_or_complaint","strategic_vulnerability","implication_for_zhiji","detail_level","confidence"
"11","Yan Fengshui","https://www.yanfengshui.com/pricing/","Annual and full BaZi practitioner","Singapore","English; Chinese","Clients seeking yearly or full life-cycle readings","Accessible named-master BaZi and Zi Wei service","Human appointment; yearly, full, and bundle products","Named human","SGD188 yearly; SGD368 full; SGD528 bundle effective January 2026","https://www.yanfengshui.com/refund-policy/ states 70% refund if unrendered and cancelled/rescheduled within stated 72-hour/three-day conditions","Annual repeat product","Named practitioner; public pricing; testimonials; physical contact details","No AI disclosure captured; privacy policy linked","Content, testimonial, local search, and referral; no audited sales volume","Transparent current pricing and episodic retention","Refund retains 30%; testimonial outcomes self-selected","Annual review depends on practitioner trust","Test annual review rather than monthly subscription","Longlist","High for current first-party price/refund"
"12","Feng Shui by Jen","https://fengshuibyjen.com/","North American practitioner and educator","United States","English","North American clients and serious students","Accredited Chinese metaphysics authority","Human consultation and training","Human","Consultation not captured; 2026 BaZi course US$4,600 new students","Not publicly captured","Education and practitioner relationship","Named practitioner; accreditation and curriculum claims","No AI disclosure captured","Courses content and North American network","North American authority and training benchmark","Consultation pricing and outcome proof not captured","Authority accumulated through education not software","Zhiji must build practitioner credibility before executive pricing","Longlist","Medium"
"13","Imperial Harvest","https://imperialharvest.com/","Luxury Feng Shui and BaZi funnel","Singapore","English; Chinese","Affluent buyers open to remedies or luxury objects","Free analysis leading to customized Feng Shui solutions","Free 30–45 minute human consultation then product solution","Human-led commerce funnel","Free intake; downstream product price not captured","Not publicly captured","Retention through purchased objects and services","Luxury design; named masters; supplier testimonials","No AI disclosure captured","SEO luxury branding and ecommerce","Low-friction acquisition and premium aesthetics","Advice and product-sale incentive are structurally conflicted","Free consultation can be a remedy upsell funnel","Make no-object and no-affiliate pledge explicit","Longlist","High for model; low for downstream economics"
"14","FateTell","https://fatetell.com/shop","AI BaZi consumer product","Hong Kong / international","English; Simplified Chinese; Traditional Chinese","Mobile/web self-service users","Polished Eastern astrology and divination","Automated interactive reports, chat, daily ritual, and credits","Automated","Shop: US$39.99 FateBook and US$19.99 FortuneBook; App Store https://apps.apple.com/us/app/fatetell-chinese-astrology/id6752552096: US$59.99/year and US$4.99/week","https://fatetell.com/terms states virtual-service payments are final/nonrefundable except mandatory law","Subscription daily use and chat credits","Polish, multilingual support, app reviews; 20,000-user claim is unaudited","App marketing says it will never share personal data/questions; https://fatetell.com/privacyPolicy says inputs can go to OpenAI, Anthropic, and Google and explains controls; material first-party wording tension","App store, SEO, content; 110-rating/4.8 U.S. snapshot observed 2026-07-10; not audited users","Closest polished AI benchmark","Commodity prose; privacy wording tension; habitual mechanics","General LLMs and cheaper tools compress price","Disclose vendors precisely; human accountability and outcome memory must be real","Detailed teardown","High for current first-party prices/terms; low for scale"
"15","Deep Oracle","https://www.deeporacle.ai/en/pricing","AI BaZi astrology and tarot","United Kingdom / international","English; Chinese payment support","Self-service users wanting cited AI output","Explainable AI with classical references","Free chart; automated reports and credits","Automated","£6.99 single; £16.99 five; £29.99/month; annual effective £19.99/month","https://www.deeporacle.ai/en/terms: cancel subscription at period end; wholly unused credit packs refundable within 14 days; consumed credits/current period nonrefundable; failed delivery restored/refunded","Credit and subscription retention","Transparent pricing and source/citation framing","AI role explicit; policy and deletion details public","SEO content and direct web purchase; scale unknown","Low-price explainability benchmark","No accountable human and no independent accuracy proof","Citations and report polish are copyable","Zhiji must make human judgment and outcome review visibly valuable","Detailed teardown","High for current first-party price/terms"
"16","灵渊 AI","https://lingyuan.ai/","AI 命理 suite","Mainland China / web","Simplified Chinese","Price-sensitive Chinese self-service users","AI BaZi Zi Wei astrology naming and chat","Automated reports and chat","Automated","RMB9.9 single; RMB39.9/month; RMB299/year","Not publicly captured","Subscription and multi-tool suite","Breadth convenience and very low price","AI is explicit; full privacy posture not assessed","Chinese search/content; scale unknown","Compresses Chinese automated-report price","No human accountability; mainland policy exposure","Commodity pricing and regulation constrain premium","Zhiji should not compete in mainland automated reports","Detailed teardown","High for live price"
"17","BaZi Fortune","https://bazifortune.app/pricing","AI BaZi app/web","International","English","Self-service English-speaking users","Chart, daily fortune, compatibility, and AI chat","Automated app/web","Automated","US$39.99/year web premium; taxes at checkout; Google Play separate","https://bazifortune.app/refund-policy: 14-day no-questions web guarantee for initial subscription; renewals case-by-case within 48 hours; Google Play separate","Annual subscription and daily features","Feature bundle and accessible price","AI role apparent; privacy not assessed in depth","SEO/web; launch-scale signals unknown","Full automation at low annual price","No named human accountability","Feature parity is easy","Avoid feature arms race; sell accountable judgment","Longlist","High for first-party price/refund"
"18","BaziAI","https://www.bazi-ai.com/","DeepSeek-based BaZi AI","International","English; Chinese","Always-on self-service users","24/7 personal BaZi advisor","Automated chat/report","Automated","US$99/year promotional snapshot","https://www.bazi-ai.com/refund-policy: initial-subscription request within 7 days less fees; completed readings and elapsed time nonrefundable; delivery not outcomes guaranteed","Annual subscription","Explicit model branding and availability","AI explicit; privacy not assessed in depth","SEO and direct web; scale unknown","Clear AI value proposition","Premium trust and privacy ceiling","General model competition","Do not call software a personal advisor or create dependency","Longlist","High for public refund; medium for promotional price"
"19","FateMaster","https://www.fatemaster.ai/en/workspace/bazi-calculate","AI BaZi calculator","International","English","Free calculator users","Instant BaZi calculation and interpretation","Free calculator plus AI","Automated","Free; paid layer not captured","Not applicable / not captured","Tool reuse","Convenience","AI role apparent; privacy not assessed","SEO/free tool; scale unknown","Near-zero-friction substitute","No human context or accountability","Free calculation is table stakes","Offer transparent calculation free or inside paid calibration; monetize judgment","Longlist","Medium"
"20","ShenShu AI","https://www.shen-shu.com/en/blog/deepseek-vs-chatgpt-bazi-fortune-telling-ai-divination","AI Chinese astrology","International","English","Search-led AI users","AI divination and comparison content","Automated tools plus content funnel","Automated","Not publicly captured","Not publicly captured","Content funnel","Search education","AI explicit; privacy not assessed","SEO","Captures AI-comparison intent","Limited price and scale proof","Search content is copyable","Publish method content but do not claim AI superiority","Longlist","Medium-low"
"21","DestinySeek","https://destinyseek.com/","AI BaZi and I Ching","International","English","Free self-service users","Accessible destiny analysis","Automated analysis and divination","Automated","Free positioning; paid status not captured","Not publicly captured","Repeat tools","Convenience","AI role apparent; privacy not assessed","SEO/web; scale unknown","Zero-price substitute","No named accountability","Free tools anchor software value near zero","Premium must be a human service not an output","Longlist","Medium"
"22","BaZi Advisor","https://baziadvisor.com/pricing","Practitioner software","International","English","BaZi practitioners","Charting and practice tools","Free and paid practitioner workspace","Software for humans","Free; US$10/month premium","Not publicly captured","Monthly tool retention","Utility and practitioner focus","Software role explicit; privacy not assessed","Practitioner SEO; scale unknown","Enables fragmented supply to professionalize","Low consumer brand moat","Tools lower barriers for competitors","Zhiji workflow software alone is not defensible","Longlist","High for price"
"23","问真八字（established official product）","https://www.iwzwh.com/wzlp/index.html","Professional BaZi charting and practitioner utility","Mainland China","Simplified Chinese","Professional practitioners and serious learners","Professional charting, case cloud storage, true-solar-time support, classical/reference and AI hint tools","Official download/web ecosystem for Android, iOS, Windows, and browser; online tool at https://pcbz.iwzwh.com/","Software tool for practitioners; no client-facing accountable interpretation","Current comparable paid price not captured from the official web path","Product-specific guarantee not captured","Saved cases, cloud tools, recurring practitioner utility","Official product/download domain and multi-platform distribution; third-party Tencent listing reports download/rating signals but is not used as audited scale","Official site advertises AI prompts; detailed vendor/data disclosure not captured in sampled path","Official web/download ecosystem, app stores, practitioner word of mouth; no audited active-user/payer count","Established practitioner-tool brand and calculation depth","Current official price, refund, AI vendor, and client privacy details not captured","Tool depth does not own the premium client decision relationship","Use a validated engine and calculation logs; do not rebuild chart UI before demand","Detailed teardown","High for official product features; low for current price/scale"
"24","万宗排盘","https://apps.apple.com/cn/app/%E4%B8%87%E5%AE%97%E6%8E%92%E7%9B%98-%E5%85%AB%E5%AD%97%E6%8E%92%E7%9B%98%E5%8D%A0%E5%8D%9C%E7%AE%97%E5%91%BD%E5%A4%A7%E5%B8%88/id1457968065","Charting and analysis app","Mainland China","Simplified Chinese; Traditional Chinese; English","Enthusiasts and self-service users","Multi-method charting and analysis","Automated app and membership","Automated","RMB30 analysis; RMB108 bundle; RMB188/month; RMB388/quarter","Apple policies","Subscription and analysis bundles","Feature depth and app presence","AI/privacy not assessed","App Store; scale not independently audited","Shows higher Chinese app price points","Automation and subscription policy risk","Crowded charting category","Do not enter app feature competition before demand proof","Longlist","High for listing price"
"25","论八字 / Calc8Words","https://play.google.com/store/apps/details?hl=zh&id=gz.aas.calc8words","BaZi chart calculator","Chinese-speaking global","Chinese","Utility users","Simple calculation","Free ad-supported and paid utility","Automated","Free/paid; exact current paid price not captured","Google Play rules","Repeat utility","Longevity and utility","AI not central; privacy not assessed","Google Play","Calculation substitute","Methodology disagreement and limited decision context","Utilities are commoditized","Show method and uncertainty rather than claim one hidden answer","Longlist","Medium"
"26","辰时八字排盘","https://apps.apple.com/cn/app/%E8%BE%B0%E6%97%B6%E5%85%AB%E5%AD%97%E6%8E%92%E7%9B%98-%E6%AD%A3%E7%89%88%E5%A4%A9%E6%97%B6%E5%AD%90%E5%B9%B3%E5%85%AB%E5%AD%97%E6%8E%92%E7%9B%98%E4%BA%94%E8%A1%8C%E5%8D%A0%E5%8D%9C/id6468569619","BaZi charting app","Mainland China","Chinese","Mobile chart users","Feature-rich 八字排盘","App with in-app purchases","Automated","Free with IAP; exact bundle not captured","Apple policies","App reuse","4,900 ratings/4.9 snapshot; not active users","AI/privacy not assessed","App Store","Strong rating signal in a crowded market","Rating is not payer or decision outcome evidence","App category is saturated","Native app and chart features cannot be the wedge","Longlist","High for rating snapshot; low for scale inference"
"27","测测","https://apps.apple.com/cn/app/%E6%B5%8B%E6%B5%8B-%E5%BF%83%E7%90%86%E6%83%85%E6%84%9Fai%E9%97%AE%E7%AD%94%E7%A4%BE%E5%8C%BA/id756771906","Astrology BaZi psychology community","Mainland China","Simplified Chinese","Broad self-knowledge and emotional-support users","Psychology emotion and AI community framing","AI agents tests community and human helpers","Hybrid","RMB9.9 first month; RMB25 renewal; RMB58/quarter; RMB178/year","Apple/subscription terms","Community and recurring membership","Broad content and community","AI is explicit; privacy requires full review","App Store community and content","Broad engagement loop","Blurred emotional support and metaphysics; dependency and policy risk","Habitual community can dilute serious private positioning","Zhiji should stay private episodic and non-companion","Longlist","High for listing price"
"28","帮帮测咨询","https://apps.apple.com/us/app/%E5%B8%AE%E5%B8%AE%E6%B5%8B%E5%92%A8%E8%AF%A2-%E4%BA%8B%E4%B8%9A%E8%B4%A2%E8%BF%90%E5%85%AB%E5%AD%97%E6%8E%92%E7%9B%98/id6503235983","Human-practitioner consultation marketplace","Mainland China / U.S. App Store","Simplified Chinese","Users seeking rapid one-to-one traditional-culture, relationship, career, or emotional consultation","Many real-time teachers plus quick-answer and assessment tools","One-to-one private consultation, quick answers, and tests; linked listing does not evidence AI","Human marketplace","IAP credits US$1.99–99.99; half-year membership US$11.99; annual US$19.99; practitioner service price remains variable","Platform service/refund claims require in-app checkout review","Easy repeat, credits, membership, practitioner choice","18+ listing; provider self-claims 10 years and 10m+ users are unaudited; insufficient U.S. ratings for overview","Developer disclosed Data Not Collected to Apple; not verified by Apple; marketplace narratives remain sensitive","App Store and promotions; scale claims not treated as audited","Liquidity and immediate human access","Quality variance, blurred psychology/metaphysics credentials, and vulnerable repeat use","Marketplace trust degrades when accountability is diffuse","Do not build a marketplace before QA evidence and practitioner supply","Detailed teardown","High for current listing/IAP; low for scale claims"
"29","科技紫微","https://www.click108.com.tw/","Chinese metaphysics portal","Taiwan","Traditional Chinese","Mass-market Taiwan users","Long-running metaphysics content and commerce","Free content reports and paid products/services","Mixed","Product-specific; not normalized","Product-specific","Content and commerce retention","Longevity and content breadth","AI/privacy not assessed","SEO portal and direct response","Distribution and category familiarity","Complex offer set and low transparency by SKU","Portal model is easy to sprawl","Keep one clear service and price","Longlist","Medium"
"30","Fiverr BaZi","https://www.fiverr.com/gigs/bazi","Gig marketplace","Global","English; multilingual sellers","Price-sensitive global buyers","Seller-defined BaZi PDFs and live calls","PDF or consultation with marketplace ratings","Human or seller-automated; disclosure varies","Visible US$5–80+ common; 143 services snapshot","Marketplace dispute/protection rules","Package-dependent","Seller reviews and platform protection","AI use/privacy vary by seller","Search marketplace; 143-service supply signal","Proves repeated global supply and low/mid-ticket transactions","Inconsistent quality and possible templated AI output","Price floor and review competition","Zhiji must not compete on page count or turnaround alone","Detailed teardown","High for visible supply/price; low for sales volume"
"31","Etsy BaZi readings","https://www.etsy.com/market/bazi_reading","Digital-reading marketplace","Global","Mainly English","Decision-specific PDF buyers","Personalized BaZi reports for career love and life","Digital PDFs with seller reviews and discounts","Human or automated; varies","Visible about US$3.99–209; many US$8–65","Marketplace policy; seller-specific","Usually one-off; seller upsells","Reviews and marketplace checkout","AI/privacy vary by seller","SEO marketplace and discounts; reviews indicate transactions","Strong demand-language and SKU experimentation","Heavy discounting templating and inconsistent quality","Report format is highly copyable","Zhiji needs live accountability and follow-through","Detailed teardown","High for visible price; medium for demand interpretation"
"32","Keen","https://www.keen.com/","Psychic and astrology marketplace","United States / global","English","Users wanting an immediate answer","On-demand rated advisors","Live phone or chat per minute","Human marketplace","Intro five minutes US$1; normal reader rates vary","Platform satisfaction/credit terms vary","Easy repeat and per-minute sessions","Advisor ratings and marketplace longevity","AI not central; sensitive chat privacy requires review","Search affiliates and promotions; volume claims not audited here","Immediate human access","Ratings reflect initial feeling; minute burn and quality variance","Economics can reward slow or repeated reassurance","Use fixed scope and price; do not monetize anxiety minutes","Longlist","High for current offer"
"33","Kasamba","https://www.kasamba.com/","Psychic and astrology marketplace","Global","English","On-demand reading users","Choose from many advisors","Live chat and phone","Human marketplace","Three free minutes and new-user promotions; variable rates","Platform-specific","Easy repeat","Ratings and company scale claims","AI not central; privacy not analyzed","SEO affiliates and promotions; millions-guided claim is self-reported","Marketplace breadth","Quality variance and per-minute incentives","Low switching costs and questionable outcome proof","Fixed accountable service can differentiate","Longlist","Medium-high"
"34","Purple Garden","https://www.purplegarden.co/","Mobile psychic marketplace","United States / global","English","Mobile users wanting video voice or chat","Verified advisors on demand","Video voice and chat with follow-up messages","Human marketplace","Variable per-minute; US$30 first-reading credit promoted","Platform-specific","Easy repeat and follow-up messages","Verified-advisor claim and ratings","AI not central; privacy not analyzed","Mobile acquisition and promotions","Rich human formats","Per-minute incentives and variable quality","Marketplace liquidity is capital and trust intensive","No marketplace until Zhiji can audit quality","Longlist","Medium-high"
"35","Co–Star","https://apps.apple.com/us/app/co-star-personalized-astrology/id1264782561","Western astrology social app","United States / global","English","Younger social astrology users","Personalized astrology plus social graphs","Automated/human-editorial app with questions and readings","Hybrid automated/editorial","US$8.99/month; US$2.99–11.99 à la carte","Apple subscription terms","Social and recurring notifications","205K U.S. ratings/4.8 snapshot; distinctive voice","AI/human production details not always clear to users","App Store viral/social distribution","Scale and strong voice","Users compare paid output to free AI; content can feel harsh or generic","LLMs compress à la carte reading value","A premium report needs human accountability and a decision artifact","Detailed teardown","High for listing and rating snapshot"
"36","CHANI","https://www.chani.com/app","Founder-led astrology wellness app","United States / global","English","Users wanting trusted recurring guidance","Grounded human-voiced astrology ritual and self-reflection","Weekly audio chart meditation journal and app","Hybrid editorial/software","US$11.99/month; US$107.99/year","Subscription terms via app stores","Weekly ritual and journaling","Named founder/editorial voice; 55K ratings/4.9 snapshot; testimonials","Production model described as human-led; privacy policy public","Founder content podcast and app store","Best adjacent trust and voice benchmark","Subscription content can become repetitive; category differs from episodic decisions","Trust is founder/editorial and habit based","Borrow clarity and voice not daily ritual mechanics","Detailed teardown","High for current price and listing"
"37","The Pattern","https://www.thepattern.com/","Western astrology in psychological language","United States / global","English","Self and relationship insight users","Personal and relationship patterns with astrology de-emphasized","Automated patterns transits audio and dating","Automated/editorial","US$14.99/month; US$29.99/quarter; US$83.99/year on captured listing","Subscription terms","Recurring patterns and relationship features","14K ratings/3.9 snapshot; emotionally resonant reviews","AI disclosure not prominent; privacy policy exists","App distribution and social relevance","Category language reaches beyond believers","Price increases negative/repetitive content and insufficient action guidance complaints","Generic pattern prose can intensify anxiety without action","Use pattern language but end with bounded options and uncertainty","Detailed teardown","High for price/rating snapshot"
"38","Nebula","https://play.google.com/store/apps/details?hl=en_US&id=genesis.nebula","Astrology plus psychic marketplace","United States / global","English","Mass-market spiritual guidance users","Daily horoscope plus real advisors","Subscription plus tarot/palmistry and live chat","Hybrid","US$7.99/week; US$24.99/month; US$29.99/3 months","Public reviews allege cancellation/refund friction; company terms apply","High-frequency subscription and paid chat","81K Google Play reviews/4.4 snapshot; large Trustpilot footprint with invitation bias","AI and multi-domain data posture complex","Aggressive performance marketing and app distribution","Demand and acquisition scale","Unexpected-charge and cancellation complaints; slow paid chat can waste money","Complex funnels and minute economics destroy trust","One price one provider fixed scope simple cancellation","Detailed teardown","High for listing; medium for complaint generalization"
"39","Sanctuary","https://www.sanctuaryworld.co/faq/","Astrology plus live readers","United States / global","English","Users mixing app content and human sessions","On-demand astrologers tarot and psychics","App subscription plus live readers","Hybrid","First five minutes US$4.99; readers US$4.99–19.99/min; app IAP varies","Platform terms","Subscription and live repeat","Self-claim 7m+ users; app ratings; named readers","AI not central; privacy policy public","App store paid acquisition and content","Combines durable app with human availability","A public review complains live readings cannot be saved; per-minute cost","Weak record and minute incentives","Durable exportable record is a real product advantage","Longlist","High for official FAQ price; low for self-claimed scale"
"40","TimePassages","https://apps.apple.com/us/app/timepassages-astrology/id488946918","Technical Western astrology software","United States / global","English","Technical astrology users","Accurate chart calculation and interpretations","Chart software and reports","Automated tool","US$0.99 charts; US$7.99/month; US$9.99 chart passes on captured listing","Apple terms","Utility subscription","Technical depth and longevity","AI not central; privacy requires app review","App Store and enthusiast referral","Calculation credibility","Not a human decision service","Technical charts are cheap","Invest in traceable calculation but monetize interpretation","Longlist","High for listing"
"41","Moonly","https://apps.apple.com/us/app/moonly-moon-phases-calendar/id1489889871","Astrology and spiritual wellness app","Global","English","Ritual and meditation users","Moon calendar horoscope rituals tarot and AI astrologer","Subscription and à la carte app","Automated/hybrid","US$6.99–9.99/week; US$89.99/year; reports/questions extra","Apple terms","Daily ritual and subscription","Broad feature bundle and app ratings","AI astrologer explicit; privacy requires review","App Store performance marketing","High-frequency bundle","Aggressive IAP ladder and weak fit for serious decisions","Habit model rewards continual uncertainty","Avoid ritual bundles and aggressive IAP","Longlist","High for listing price"
"42","AstroMatrix","https://astromatrix.org/","Freemium astrology database/app","Global","English","Technical and self-service astrology users","Deep free charts and reports","Free reports ads and premium","Automated","Freemium; exact current U.S. IAP not captured","Platform terms","Repeat utility","Depth and free access","AI/privacy not assessed","SEO/app distribution","Strong free substitute","Ad clutter and no named adviser","Free depth reduces software willingness to pay","Do not charge premium for calculations or static interpretation","Longlist","Medium"
"43","Gene Keys","https://home.genekeys.com/","Personality and spiritual self-study system","Global","English","Self-development and purpose seekers","Birth data to contemplative life-purpose journey","Free profile then courses retreat and community","Human education plus software profile","Free profile; 2026 retreat/full journey US$1,275","Program-specific","Long-form learning and community","Founder system intellectual property and curriculum","Not AI-centric; privacy policy public","Books courses affiliates community and events","Premium education journey and language system","Not decision-specific; time intensive; worldview commitment","Proprietary system and community are hard to copy","Zhiji could later productize education but not before service proof","Longlist","Medium-high"
"44","Genetic Matrix","https://www.geneticmatrix.com/","Human Design and astrology software","Global","English","Birth-data self-understanding users and practitioners","Technical profiles and reports","Free chart paid reports and subscriptions","Automated","Free; US$49 report; paid plans","Not publicly captured","Reports and plans","Technical tooling and explicit no-AI report claim","No-AI claim is a trust signal; privacy policy public","SEO and practitioner users","Shows buyers may value non-AI provenance","Still a static report and system-specific","AI skepticism can be monetized by transparent provenance","Disclose exact human/AI split and offer named sign-off","Longlist","High for public price/claim"
"45","BetterUp","https://support.betterup.com/hc/en-us/articles/45460723207835--BetterUp-for-Individuals-Changes-to-Coaching-Services-FAQ","Enterprise coaching platform; former individual substitute","United States / global","Multiple languages","Employer-sponsored professionals; legacy individual members","Human development, action, and performance","Enterprise hybrid coaching; BetterUp for Individuals is winding down and accepts no new or returning members","Hybrid with human coaches and AI","No current new individual purchase; official FAQ says new subscriptions ended 2026-01-31 and program ends 2027-01-31","Legacy refund options handled through support; plan-specific terms","Enterprise/legacy ongoing coaching","Coach network, enterprise clients, assessments, and progress; scale claims are company claims","AI matching/coach disclosed; enterprise privacy controls public","Enterprise sales and brand content","Demonstrates professional trust model and the difficulty of sustaining direct-to-consumer coaching","Not a currently purchasable individual benchmark","Direct-to-consumer recurring coaching economics may be difficult","Use ICF/Noomii for current price comparison; do not borrow coaching credentials","Detailed teardown","High for official wind-down status; medium for adjacent implication"
